ano;n_vinculos;prop_vinculos
2016;2543252;0.0338
2017;2656733;0.0341
2018;2679183;0.0337
2019;2708050;0.0339
2020;2550861;0.0338
2021;2817072;0.0346
2022;3191913;0.0357
2023;3322190;0.0353
2024;3427912;0.0352
2025;3505929;0.0343
